id,receipt_transaction_id,delivery_schedule_id,allocation_sequence,allocation_bucket,allocated_base_quantity,po_line_id_for_validation
19f78751-5bf4-5b91-983f-1fb00cbd8d62,300fba0c-99e4-5085-8c24-d18f85658332,ebd525b6-9804-5be2-b2ee-d1aa07819847,1,schedule,181.0000,bc1b72de-5c04-5c9e-a521-5dafe99d39ad
6e0bbccd-5fa8-5a30-b905-44bccd036fa1,57bf148c-af3b-5e16-bcec-70eb7c2ffd66,9965cbd7-5b55-5a23-bc53-ff5baae19d7f,1,schedule,5520.0000,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0
e6255ba9-8e25-5b4e-b2ee-9e8a4168f390,2335e91e-61c5-5779-a594-da9f82209d43,d77a6bca-2f13-5da9-ac56-f14963d3c63d,1,schedule,9120.0000,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42
3481d849-b673-5d8e-afd0-1fcec53c0f0b,ee4a2251-6cc9-5188-accb-91e10452bbef,ded9681b-17c2-506e-a867-c140211c5158,1,schedule,32.7500,5f1ef0f1-e915-5eea-80fc-279e37c35736
0d9cfdb0-b541-5e7c-a2ff-1d2e8bca9c7e,5ecbf4c3-3496-5461-8a70-8e048df78fa2,ded9681b-17c2-506e-a867-c140211c5158,1,schedule,32.7500,5f1ef0f1-e915-5eea-80fc-279e37c35736
1e67a408-962c-5740-a2d2-891d79ffd498,aa4f743c-d535-5ec6-be33-1db2c6fe536e,ded9681b-17c2-506e-a867-c140211c5158,1,schedule,32.7500,5f1ef0f1-e915-5eea-80fc-279e37c35736
3efcb4be-e0c6-5067-9fca-d975eca36e0f,e3bf5438-a78c-5b0e-9b62-bf28b4dc85c0,ded9681b-17c2-506e-a867-c140211c5158,1,schedule,32.7500,5f1ef0f1-e915-5eea-80fc-279e37c35736
48efa9cd-b23a-5797-b1b3-80c8954ac5df,5f36e41e-7ad4-5117-b52e-d5487868afc2,7967e169-c3f5-562a-941b-13435f27c445,1,schedule,6.0000,9bb31f47-5933-5c0b-96a9-a7cab9768925
1b8c9d96-3484-501b-857d-b1518c82b964,1ad1e9e2-eff5-5b41-839f-ffeaf21b162f,7967e169-c3f5-562a-941b-13435f27c445,1,schedule,6.0000,9bb31f47-5933-5c0b-96a9-a7cab9768925
f2fbc35a-bdd8-5def-bdba-e4aaf2baea01,aec569dd-051e-5af1-9b55-1bbfbb987ce6,7967e169-c3f5-562a-941b-13435f27c445,1,schedule,6.0000,9bb31f47-5933-5c0b-96a9-a7cab9768925
b7c4df44-436f-5d79-969c-99264e3f143c,8a8fb412-e9cc-553e-bdd0-bf79fbe8449c,7967e169-c3f5-562a-941b-13435f27c445,1,schedule,6.0000,9bb31f47-5933-5c0b-96a9-a7cab9768925
2b28898f-048a-527a-8c77-b55cc5f78c5a,843ae9c1-ff37-5736-930d-54d22cc642b3,0795bf89-f47d-5fa3-9d75-4cb6f37ba46a,1,schedule,2400.0000,169c8472-68ac-5f94-a83e-4407991dbbed
7a129180-e5c4-5426-bc18-8cc9c7ca0789,52cba2df-e6fb-54de-90d9-30bde61ae13e,0795bf89-f47d-5fa3-9d75-4cb6f37ba46a,1,schedule,2400.0000,169c8472-68ac-5f94-a83e-4407991dbbed
ec430aaa-7628-56a3-a57a-7ee63de18527,a1575349-ff61-5b1d-9016-4db60729e7a9,ee588271-e8fa-53d0-99d3-f712f6171e46,1,schedule,117.0000,a6f46d12-2805-52d3-813c-4a7419e40b54
