id,supplier_id,site_id,definition_version,window_start,window_end,as_of_date,numerator_count,denominator_count,otif_rate,sample_sufficient
627cfe60-3aec-54aa-9a94-42559efe0ee9,b019f662-4041-56d7-947a-ad0e19cbf3e5,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,74,84,0.8810,true
20320615-2f54-5e4d-8edf-e7e832a146a2,b019f662-4041-56d7-947a-ad0e19cbf3e5,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,34,41,0.8293,true
bc5e4dc3-9dd4-54e8-ac6f-ad4133bbcb37,f4263488-fb38-5a77-9b7d-bc1a9c185d5c,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,68,80,0.8500,true
74a6fee1-3285-582c-9e5a-eedd7589312d,f4263488-fb38-5a77-9b7d-bc1a9c185d5c,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,36,41,0.8780,true
4a0cf0bc-7bbd-5a68-acaa-973b164df054,69943b6b-c286-5006-bfa5-bce4290c448f,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,24,26,0.9231,true
86f0924e-3dee-5ce2-9eef-92613bfff7b2,69943b6b-c286-5006-bfa5-bce4290c448f,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,29,32,0.9062,true
af8877f5-5394-5148-aabc-ce3e22884aca,bd21beb4-4051-594d-8000-d00192519578,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,41,44,0.9318,true
8249fe78-9a33-57e7-ae06-dc18d87535d5,bd21beb4-4051-594d-8000-d00192519578,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,78,88,0.8864,true
e6ae458c-6edb-5136-a0ce-2755b2756945,6ab50693-de7e-5ce4-a00c-1129c9838c2f,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,40,41,0.9756,true
befc9721-eea3-5cdb-9a2b-dee3115e9fd9,6ab50693-de7e-5ce4-a00c-1129c9838c2f,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,13,15,0.8667,false
6aee846c-1ac2-5562-957e-d3f887e9158a,c77963d8-1c44-520a-be00-9efc062d21d4,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,19,20,0.9500,true
