dataset_name,schema_version,row_count,file_name,file_hash,generator_version,seed,as_of_timestamp,generation_timestamp,configuration_hash
calendar_versions,synthetic-source-v1,1,calendar_versions.csv,477acc1aebb12cd1baa8e84be00633d6c5802b3d451c074087757678e28cb654,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
delivery_schedules,synthetic-source-v1,363,delivery_schedules.csv,f56a3c67d639b8540a463dc79cdf30fb5ae38667aa8bc5d961a734d4c9999ab1,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
demand_requirements,synthetic-source-v1,320,demand_requirements.csv,1bf5d8263525d6411a43e502316e183fda65c5b306a751095d07c2b5188539aa,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
future_receipt_outcomes,synthetic-source-v1,34,future_receipt_outcomes.csv,b66bf56f5958ae3b6a2e8d6c45ba83c10924e3d14826d89f00f5775923510e0a,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
inventory_snapshots,synthetic-source-v1,81,inventory_snapshots.csv,21a3370b22cadb586dc822ebd9278b32155ae21ec5c4d04830c150c6d07f2338,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
ownership_mappings,synthetic-source-v1,8,ownership_mappings.csv,003572c1bb3372ed95f84b7082366ccaf41bcfcdf53189fc714a77e689b6556f,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
pipeline_runs,synthetic-source-v1,1,pipeline_runs.csv,38e95eda1add593b9e44d399af3fba5f18745c735cb4aa6a8bf83bb7a97a768c,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
product_site_inventory_policies,synthetic-source-v1,80,product_site_inventory_policies.csv,587a50dca6bdc3d2401b019d9f092684a8eb517309165a76ae0197b4d809dbf2,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
product_versions,synthetic-source-v1,40,product_versions.csv,e3fa3f6be1cf22deab7cf320817acc37544871f361e91f774e093b461b738aff,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
products,synthetic-source-v1,40,products.csv,e5382545871095dab3595e7a369529dda63d2cd1512e3e00f9251f410dc7a4e6,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
purchase_order_line_aliases,synthetic-source-v1,260,purchase_order_line_aliases.csv,8541ee0684142d27afbe3d126dff67c1b056fb51ce16681231cb2d1a086c8e24,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
purchase_order_line_versions,synthetic-source-v1,282,purchase_order_line_versions.csv,98f3a405c60cd9cba499227c469f16bf4bbb288dfb9e1f12e4cb0e8162675109,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
purchase_order_lines,synthetic-source-v1,260,purchase_order_lines.csv,a916a9782a74321e0c2840027606b421a983ddf0bc1696b5b755c763e277fbab,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
purchase_order_versions,synthetic-source-v1,103,purchase_order_versions.csv,a40a082cad5b34ed7c9064243bc760305d2c0c49265eca17854a8e43471aea30,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
purchase_orders,synthetic-source-v1,103,purchase_orders.csv,456169effba0b93d3598c75c0af062450ecdb31c024e023ca76d28bb3105fa10,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
receipt_allocations,synthetic-source-v1,432,receipt_allocations.csv,cb1f09ed15fe1abc545a019a07c0fe985f7cc5bf012202432297cbd5f70dc831,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
receipt_transactions,synthetic-source-v1,339,receipt_transactions.csv,f93ac1118abba8aafde225bf226c82a7a7b8cc8070fd194823e9328cce48a3b6,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
rule_versions,synthetic-source-v1,1,rule_versions.csv,7eb82c96871c6422874703c2e6ac1c31e6a57b6e1dc80eb25368623acfac9d61,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
scenario_assignments,synthetic-source-v1,123,scenario_assignments.csv,fe6e63ca360cba3731309802de4b069d55d619439e9af7c1e7f7bf25f5da0405,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
